X_mm,Y_mm,Mean_Delta,Abs_Delta,Count,Reliability
-55.183,-132.888,1.047,1.047,8.0,1.303
55.737,-132.888,-6.09,6.09,8.0,0.913
72.375,127.464,6.464,6.464,8.0,2.873
-49.637,-35.256,8.745,8.745,8.0,3.854
-121.735,-2.712,9.19,9.19,8.0,3.571
-71.821,62.376,9.359,9.359,8.0,3.853
72.375,-2.712,9.836,9.836,8.0,7.246
94.559,62.376,11.124,11.124,8.0,3.385
-132.827,-56.952,11.473,11.473,8.0,1.659
16.915,-18.984,11.661,11.661,8.0,3.344
