X_mm,Y_mm,Mean_Delta,Abs_Delta,Count,Reliability
138.927,-35.256,-44.547,44.547,4.0,0.776
55.737,-132.888,-7.055,7.055,4.0,0.34
-55.183,-132.888,0.105,0.105,4.0,0.867
72.375,127.464,7.258,7.258,4.0,1.714
-49.637,-35.256,8.625,8.625,4.0,1.859
-71.821,62.376,8.983,8.983,4.0,2.596
72.375,-2.712,9.42,9.42,4.0,4.435
-121.735,-2.712,9.788,9.788,4.0,3.037
-132.827,-56.952,11.333,11.333,4.0,1.121
72.375,-67.8,12.617,12.617,4.0,2.511
