X_mm,Y_mm,Mean_Delta,Abs_Delta,Count,Reliability
138.927,-35.256,-42.079,42.079,8.0,1.752
-55.183,132.888,32.158,32.158,8.0,1.649
-132.827,56.952,24.636,24.636,8.0,1.193
133.381,18.984,23.278,23.278,8.0,4.309
0.277,127.464,20.203,20.203,8.0,7.441
94.559,-94.92,18.764,18.764,8.0,3.256
-55.183,-94.92,16.696,16.696,8.0,5.903
-94.005,94.92,15.58,15.58,8.0,4.076
-55.183,94.92,15.474,15.474,8.0,4.392
-94.005,-56.952,15.416,15.416,8.0,6.282
