X_mm,Y_mm,Mean_Delta,Abs_Delta,Count,Reliability
0.277,127.464,20.203,20.203,8.0,7.441
72.375,-2.712,9.836,9.836,8.0,7.246
16.915,18.984,12.576,12.576,8.0,6.666
-94.005,-56.952,15.416,15.416,8.0,6.282
-55.183,-94.92,16.696,16.696,8.0,5.903
-16.361,56.952,13.21,13.21,8.0,5.288
16.915,-94.92,14.449,14.449,8.0,5.07
72.375,-67.8,12.78,12.78,8.0,5.025
0.277,-2.712,13.591,13.591,8.0,4.701
-16.361,-56.952,14.842,14.842,8.0,4.627
